Source,Target,Type
W4206500717,W2986273318,Directed
W3155638432,W2986273318,Directed
W2997919341,W2986273318,Directed
W3155333579,W2986273318,Directed
W3153413682,W2986273318,Directed
W3196020299,W2986273318,Directed
W4293253193,W2986273318,Directed
W4367860606,W2986273318,Directed
W4223931259,W2986273318,Directed
W3001533941,W2986273318,Directed
W7140113249,W2986273318,Directed
W4213245517,W2986273318,Directed
W4213335484,W2986273318,Directed
W4321485151,W2986273318,Directed
W3159809086,W2986273318,Directed
W3210226107,W2986273318,Directed
W4292947877,W2986273318,Directed
W3153917096,W2986273318,Directed
W4389832989,W2986273318,Directed
W3093882121,W2986273318,Directed
W4396758690,W2986273318,Directed
W4399290793,W2986273318,Directed
W4390446658,W2986273318,Directed
W4307811153,W2986273318,Directed
W3153425017,W2986273318,Directed
W3095367057,W2986273318,Directed
W3154369429,W2986273318,Directed
W4384636773,W2986273318,Directed
W4388955650,W2986273318,Directed
W4290878292,W2986273318,Directed
W4385565236,W2986273318,Directed
W4382203119,W2986273318,Directed
W4399387769,W2986273318,Directed
W4400033023,W2986273318,Directed
W3217373882,W2986273318,Directed
W3035309367,W2986273318,Directed
W3156055390,W2986273318,Directed
W3040032614,W2986273318,Directed
W4318710503,W2986273318,Directed
W4392123300,W2986273318,Directed
W4403582471,W2986273318,Directed
W4404078859,W2986273318,Directed
W4407953134,W2986273318,Directed
W4409149914,W2986273318,Directed
W4412396197,W2986273318,Directed
W4413349469,W2986273318,Directed
W7126052060,W2986273318,Directed
W7140115190,W2986273318,Directed
W4406073177,W3208268490,Directed
W4412396168,W3208268490,Directed
W4366310338,W3208268490,Directed
W3174604160,W3021927925,Directed
W4285242745,W3021927925,Directed
W3164698931,W3021927925,Directed
W4383860112,W3021927925,Directed
W4404106352,W3021927925,Directed
W4387215963,W3021927925,Directed
W4396758634,W3021927925,Directed
W4408313130,W3021927925,Directed
W3104197154,W3021927925,Directed
W3207800640,W3021927925,Directed
W3211902004,W3021927925,Directed
W4295899235,W3021927925,Directed
W4223954367,W3021927925,Directed
W4213418810,W3021927925,Directed
W4324007106,W3021927925,Directed
W4366003039,W3021927925,Directed
W4400422209,W3021927925,Directed
W4226293427,W3021927925,Directed
W4400774316,W3021927925,Directed
W4408955334,W3021927925,Directed
W4281904876,W3021927925,Directed
W4387337858,W3021927925,Directed
W4297101959,W3021927925,Directed
W4285385153,W3021927925,Directed
W4390682058,W3021927925,Directed
W4386160462,W3021927925,Directed
W4396827188,W3021927925,Directed
W4403341616,W3021927925,Directed
W4407161427,W3021927925,Directed
W3106796644,W3021927925,Directed
W4395063021,W3021927925,Directed
W4313042644,W3021927925,Directed
W4214732366,W3021927925,Directed
W4214510957,W3021927925,Directed
W4302023632,W3021927925,Directed
W3047438096,W3021927925,Directed
W4290652541,W3021927925,Directed
W4295957299,W3021927925,Directed
W4400994997,W3021927925,Directed
W3092179950,W3021927925,Directed
W3174897849,W3021927925,Directed
W4297893962,W3021927925,Directed
W3166779068,W3021927925,Directed
W3205194673,W3021927925,Directed
W4387164779,W3021927925,Directed
W4401539876,W3021927925,Directed
W4410049888,W3021927925,Directed
W4410773931,W3021927925,Directed
W4412659843,W3021927925,Directed
W4414016847,W3021927925,Directed
W4416744782,W3021927925,Directed
W4416744803,W3021927925,Directed
W7155179383,W3021927925,Directed
W4401983417,W4387846225,Directed
W4406847104,W4387846225,Directed
W4319789935,W4387846225,Directed
W4394844641,W4387846225,Directed
W4403484247,W4387846225,Directed
W4412663323,W4387846225,Directed
W4416017204,W4387846225,Directed
W7125614867,W4387846225,Directed
W4406461149,W4387846225,Directed
W4399205226,W4312839192,Directed
