Source,Target,Weight,Type
W4380302034,W3124364749,4,Undirected
W4380302034,W4387846225,2,Undirected
W4380302034,W4399205168,1,Undirected
W4380302074,W3153548528,2,Undirected
W4312747999,W4312444981,1,Undirected
W2798683079,W2977413798,1,Undirected
W2798683079,W3175294292,21,Undirected
W2798683079,W3150521545,38,Undirected
W2798683079,W4385567856,9,Undirected
W2798683079,W2536435413,1,Undirected
W3208543775,W4292423901,1,Undirected
W3208543775,W4292419518,3,Undirected
W3208543775,W3200686557,1,Undirected
W2897495521,W2986273318,3,Undirected
W2897495521,W2884014654,1,Undirected
W2897495521,W3094231056,1,Undirected
W3124364749,W2991447357,3,Undirected
W3124364749,W2954365773,1,Undirected
W3124364749,W621249151,2,Undirected
W3124364749,W2977413798,1,Undirected
W3124364749,W3153548528,1,Undirected
W3124364749,W3175498457,1,Undirected
W3124364749,W4387846225,2,Undirected
W3124364749,W4387854274,1,Undirected
W3124364749,W2767845755,1,Undirected
W3124364749,W4380302094,1,Undirected
W4387846231,W4385562787,1,Undirected
W621249151,W2574434649,2,Undirected
W621249151,W2612937920,2,Undirected
W621249151,W2810121253,40,Undirected
W621249151,W2794685318,2,Undirected
W621249151,W2991447357,1,Undirected
W621249151,W2954365773,14,Undirected
W621249151,W4313195819,8,Undirected
W621249151,W2977413798,2,Undirected
W621249151,W3210022786,4,Undirected
W621249151,W4312494946,2,Undirected
W621249151,W3021927925,1,Undirected
W4306317022,W2537308293,1,Undirected
W4306317022,W3093988619,1,Undirected
W4312313312,W4380302094,1,Undirected
W4312313312,W4380302122,1,Undirected
W3094045953,W3049302648,2,Undirected
W3094045953,W2986273318,1,Undirected
W3094045953,W4387849079,1,Undirected
W4385562549,W2810503719,1,Undirected
W4385562549,W4387847123,1,Undirected
W4312494946,W2810121253,2,Undirected
W4403582411,W4403577323,1,Undirected
W3093688662,W3094422017,1,Undirected
W3034334126,W2986273318,1,Undirected
W3208981019,W3208996364,1,Undirected
W4412877063,W4412876875,1,Undirected
W3021927925,W2991447357,6,Undirected
W3021927925,W4313195819,1,Undirected
W3021927925,W2810121253,2,Undirected
W3021927925,W3003044879,1,Undirected
W4401857203,W4401863414,1,Undirected
W3049302648,W3018696946,1,Undirected
W3018696946,W2884014654,1,Undirected
W3018696946,W2810503719,1,Undirected
W3018696946,W2947681066,1,Undirected
W3200686557,W3094347401,1,Undirected
W4385567868,W3210022786,2,Undirected
W4385567868,W4383175703,2,Undirected
W4385567868,W3175498457,1,Undirected
W4385567868,W3150521545,2,Undirected
W4385567868,W2612937920,1,Undirected
W4387847123,W2810503719,1,Undirected
W3153548528,W4312499740,1,Undirected
W3153548528,W2977413798,1,Undirected
W4403577377,W4399205800,1,Undirected
W2977413798,W2810121253,3,Undirected
W2977413798,W2954365773,2,Undirected
W2977413798,W4313195819,1,Undirected
W2977413798,W2991447357,1,Undirected
W4411120820,W4312804490,1,Undirected
W2574434649,W2612937920,2,Undirected
W2574434649,W2796881724,1,Undirected
W2574434649,W2280557596,1,Undirected
W2574434649,W3154639321,1,Undirected
W2574434649,W3175498457,1,Undirected
W4403577402,W4412876983,1,Undirected
W4401863339,W3210022786,1,Undirected
W4312768622,W4411120995,1,Undirected
W4312499740,W3210022786,1,Undirected
W3033757400,W4312339199,1,Undirected
W2884014654,W4306317038,1,Undirected
W4399205774,W4399205563,1,Undirected
W2810902748,W2953954626,7,Undirected
W3116510227,W3122571625,1,Undirected
W4381708538,W4290927927,1,Undirected
W4381708538,W4412876997,1,Undirected
W4401863235,W4401863947,2,Undirected
W3209939081,W3094347401,2,Undirected
W3209939081,W4306317348,1,Undirected
W4399205777,W2963446316,1,Undirected
W3210022786,W2810121253,3,Undirected
W3210022786,W3175294292,1,Undirected
W3210022786,W4313195819,1,Undirected
W3210022786,W4399837592,1,Undirected
W4306317348,W3094347401,1,Undirected
W3175498457,W2991447357,3,Undirected
W3175498457,W4312804490,1,Undirected
W3175498457,W2810121253,1,Undirected
